frame_order,frame_index,episode_progress,samples_per_prompt,first_action_cmi_bits
0,0,0.0,2,2.04242824917051
0,0,0.0,4,2.444990737083992
0,0,0.0,8,2.491817322846288
1,16,0.14678899082568808,2,2.5454612024734553
1,16,0.14678899082568808,4,2.6889987056125055
1,16,0.14678899082568808,8,2.8019989174233224
2,31,0.28440366972477066,2,2.783430946120324
2,31,0.28440366972477066,4,2.8822922399677764
2,31,0.28440366972477066,8,2.968887294466602
3,47,0.43119266055045874,2,2.111105776042526
3,47,0.43119266055045874,4,2.514709386745224
3,47,0.43119266055045874,8,2.532476864884828
4,62,0.5688073394495413,2,2.7092728530230743
4,62,0.5688073394495413,4,2.890447679289643
4,62,0.5688073394495413,8,2.9122055450155506
5,78,0.7155963302752294,2,2.6247789333129528
5,78,0.7155963302752294,4,2.7867350553276773
5,78,0.7155963302752294,8,2.8724809124760804
6,93,0.8532110091743119,2,2.81462394325987
6,93,0.8532110091743119,4,2.921476435753717
6,93,0.8532110091743119,8,2.9976189436090266
7,109,1.0,2,2.3287855927800227
7,109,1.0,4,2.5592280842532285
7,109,1.0,8,2.556724165734907
