episode_id,family,policy_id,block_id,goal,scenario,accepted_valid,success,failure_stage,failure_label,trigger_eligible,event_delivered,event_observed,motion_truncated_by_release,intervention_exposure_label
online_correction_v4-C7-b000-0f7d332241178968,C7,cosmos3_nano_droid,0,front,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-357a87b15e3e008a,C7,cosmos3_nano_droid,0,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-80a851d13d29ce40,C7,cosmos3_nano_droid,0,behind,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-845b0436b052923e,C7,cosmos3_nano_droid,0,right,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-ad5ad35713d67965,C7,cosmos3_nano_droid,0,right,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-1dde9da39c949b4d,C7,cosmos3_nano_droid,1,front,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-38437245ea522d64,C7,cosmos3_nano_droid,1,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b002-1bd2eadaadabe79c,C7,cosmos3_nano_droid,2,right,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b002-7beb190fb941b162,C7,cosmos3_nano_droid,2,right,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b002-d5bcf60fec46a4cb,C7,cosmos3_nano_droid,2,behind,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b002-e6a179864b89a264,C7,cosmos3_nano_droid,2,behind,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b003-16fc1138b338e280,C7,cosmos3_nano_droid,3,front,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b003-3c5687743bb17801,C7,cosmos3_nano_droid,3,front,destination_static,1,0,pickup,no_grasp,0,0,0,0,
