episode_id,family,fixture,block_id,policy_id,goal,wording,scenario,named_reference,planned,accepted_valid,missing_valid,infra_invalid,blocked,trigger_eligible,event_delivered,event_observed
online_correction_v4-C6-pilot-00-44aafa4fd91158a4,C6,containment,0,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-pilot-01-ec2115369e9557f7,C6,containment,1,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-02-96d3e0e893351760,C6,containment,2,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-pilot-03-43e1c8fefe5a0ee2,C6,containment,3,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-04-b27786ef88f82140,C6,containment,4,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-05-e0c92f26ed8943e9,C6,containment,5,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-06-3d29e06a73ae1942,C6,containment,6,cosmos3_nano_droid,inside,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-07-7aaa47b1e35704c0,C6,containment,7,cosmos3_nano_droid,inside,inverse,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-08-c5627804bbb26127,C6,containment,8,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-09-4fd26267810d10c7,C6,containment,9,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-10-3241afa9d343d421,C6,containment,10,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-11-fd87d96de9d33a94,C6,containment,11,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-12-a7d4e5f4e99822cd,C6,containment,12,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-pilot-13-1dc732ad826acf3d,C6,containment,13,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C6-pilot-14-5175e4252211484a,C6,containment,14,cosmos3_nano_droid,inside,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-15-abe4828d41c933d2,C6,containment,15,cosmos3_nano_droid,inside,inverse,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-16-ca02239d48b0228d,C6,containment,16,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-17-20a31c75e158da09,C6,containment,17,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-18-f6a8f921c774c3d1,C6,containment,18,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-19-1eab4eaad447c1ad,C6,containment,19,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,1,1,0
online_correction_v4-C6-pilot-20-62e42f3571d42cbe,C6,containment,20,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-21-c19d7a011dcae22c,C6,containment,21,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,1,1,0
online_correction_v4-C6-pilot-22-11f8ab7c27ab4f34,C6,containment,22,cosmos3_nano_droid,inside,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C6-pilot-23-fd9e333d78110671,C6,containment,23,cosmos3_nano_droid,inside,inverse,move_stop,single,1,1,0,0,0,0,0,0
