episode_id,family,policy_id,block_id,goal,scenario,accepted_valid,success,failure_stage,failure_label,trigger_eligible,event_delivered,event_observed,motion_truncated_by_release,intervention_exposure_label
online_correction_v4-C7-b000-0f7d332241178968,C7,cosmos3_nano_droid,0,front,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-223a77b823bd05ad,C7,cosmos3_nano_droid,0,behind,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-357a87b15e3e008a,C7,cosmos3_nano_droid,0,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-57ace99812464a9d,C7,cosmos3_nano_droid,0,front,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-73e4ddd92ed640e3,C7,cosmos3_nano_droid,0,left,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-80a851d13d29ce40,C7,cosmos3_nano_droid,0,behind,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-845b0436b052923e,C7,cosmos3_nano_droid,0,right,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-a5af515ad613af78,C7,cosmos3_nano_droid,0,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-ad5ad35713d67965,C7,cosmos3_nano_droid,0,right,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-e0d5b70e939705f3,C7,cosmos3_nano_droid,0,front,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-f2edd0becad33890,C7,cosmos3_nano_droid,0,right,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b000-f76a587dea91ab28,C7,cosmos3_nano_droid,0,left,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-0a9387ed28965137,C7,cosmos3_nano_droid,1,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-1dde9da39c949b4d,C7,cosmos3_nano_droid,1,front,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-23759382d571e35f,C7,cosmos3_nano_droid,1,right,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-2b7335a420143b5d,C7,cosmos3_nano_droid,1,front,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-2f0c8c20bd169966,C7,cosmos3_nano_droid,1,front,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-38437245ea522d64,C7,cosmos3_nano_droid,1,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-38f5b638edfaa054,C7,cosmos3_nano_droid,1,behind,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-4e1d003f60685724,C7,cosmos3_nano_droid,1,left,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-5d0b15e2c5a93afc,C7,cosmos3_nano_droid,1,behind,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-5e75205fcfec894a,C7,cosmos3_nano_droid,1,right,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-62a2cb7640780ff0,C7,cosmos3_nano_droid,1,left,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b001-67447eec625901e1,C7,cosmos3_nano_droid,1,right,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b002-1bd2eadaadabe79c,C7,cosmos3_nano_droid,2,right,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b002-3dc9e911ec4b96e2,C7,cosmos3_nano_droid,2,front,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C7-b002-4601b07dfb0a6e39,C7,cosmos3_nano_droid,2,right,destination_static,1,0,pickup,no_grasp,0,0,0,0,
