episode_id,family,fixture,block_id,policy_id,goal,wording,scenario,named_reference,planned,accepted_valid,missing_valid,infra_invalid,blocked,trigger_eligible,event_delivered,event_observed
online_correction_v4-C8-b000-91e8217954816bb9,C8,second_stack,0,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b000-fda78a23548c3377,C8,second_stack,0,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b003-61e8e0c2f97f9680,C8,second_stack,3,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b003-d91da6d1fc821c69,C8,second_stack,3,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-b005-b2b4f3677a516142,C8,second_stack,5,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b005-ebdb3ef349bae6db,C8,second_stack,5,groot_bridge_widowx,left,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b005-ec6c6c83cb61b5bd,C8,second_stack,5,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b005-f38e872251fd7eae,C8,second_stack,5,groot_bridge_widowx,behind,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b006-4bdf1461c6ca0647,C8,second_stack,6,groot_bridge_widowx,behind,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b006-83edf72e90e1ed63,C8,second_stack,6,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b007-1ab1f439942c7fe9,C8,second_stack,7,groot_bridge_widowx,behind,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b010-28b5454a2a3f10b6,C8,second_stack,10,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b011-9010ab22cdfbad2c,C8,second_stack,11,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b011-91804421fb07fec6,C8,second_stack,11,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b012-04d926c8f4707973,C8,second_stack,12,groot_bridge_widowx,front,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b013-0a4f8fbbc3a8e6ab,C8,second_stack,13,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b013-2a2792c2d6b45908,C8,second_stack,13,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b013-62747aefda1944a3,C8,second_stack,13,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b013-7cb127ee135b8cf9,C8,second_stack,13,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b013-e33f41f1fec5c5fe,C8,second_stack,13,groot_bridge_widowx,left,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b014-60a16df5dbe0ee86,C8,second_stack,14,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b014-85d13f8fb34d55fc,C8,second_stack,14,groot_bridge_widowx,right,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b015-3577776c11441843,C8,second_stack,15,groot_bridge_widowx,left,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b015-654f8652862ab423,C8,second_stack,15,groot_bridge_widowx,right,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b017-7b1967dee9cdd8d0,C8,second_stack,17,groot_bridge_widowx,left,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b017-d47fb30399783565,C8,second_stack,17,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b017-dc4e959abf2479fd,C8,second_stack,17,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b019-67555314289697c7,C8,second_stack,19,groot_bridge_widowx,right,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b019-9a23ec84b47df4bf,C8,second_stack,19,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b021-38a1997b0c069297,C8,second_stack,21,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b021-b5d0476e2582af4d,C8,second_stack,21,groot_bridge_widowx,behind,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b022-3b7a6cafa4deeeec,C8,second_stack,22,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b023-21232c75a5c87b73,C8,second_stack,23,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b023-d981b7ab74c7aeec,C8,second_stack,23,groot_bridge_widowx,front,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b024-4a4b19f33ff7c73f,C8,second_stack,24,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b024-9d4b06d804590912,C8,second_stack,24,groot_bridge_widowx,behind,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b024-fdabbd7bf59f007d,C8,second_stack,24,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b026-49a736129b51ef9b,C8,second_stack,26,groot_bridge_widowx,left,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b027-982395f4ebadae06,C8,second_stack,27,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b030-7864fb977d955551,C8,second_stack,30,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b031-02e4cd52c6df9f4c,C8,second_stack,31,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b031-b34385be336a36ac,C8,second_stack,31,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b032-48328e1e18f4b210,C8,second_stack,32,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b032-9c8f540db7ca43a8,C8,second_stack,32,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b033-2e7e0ca06c825e3d,C8,second_stack,33,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b033-a897af2b7ee3ff1b,C8,second_stack,33,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b033-ab764bca0863794b,C8,second_stack,33,groot_bridge_widowx,right,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b034-a8d288d6d276ec26,C8,second_stack,34,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b035-ab298e56160bdfca,C8,second_stack,35,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b036-27db7b9aba853b96,C8,second_stack,36,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b037-a7ae8d0d3522d573,C8,second_stack,37,groot_bridge_widowx,right,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b039-24fd6d7840b620e8,C8,second_stack,39,groot_bridge_widowx,right,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b039-d2f581ec2b94fb87,C8,second_stack,39,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b041-9405ff82ef81d101,C8,second_stack,41,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b042-25efb529c068d740,C8,second_stack,42,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b043-0672467d0fc95f97,C8,second_stack,43,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b043-173b22bb23643554,C8,second_stack,43,groot_bridge_widowx,right,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b044-d35f90e78a688b9c,C8,second_stack,44,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b046-1c917c91b3b6aa61,C8,second_stack,46,groot_bridge_widowx,right,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b046-d1497279682699b9,C8,second_stack,46,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b047-7f10adeca4548807,C8,second_stack,47,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b049-561226819be46f1a,C8,second_stack,49,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b049-9fcd93c958f824d5,C8,second_stack,49,groot_bridge_widowx,front,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b049-a1ac796d1a68c9d1,C8,second_stack,49,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b050-0ee155cc9d28aca4,C8,second_stack,50,groot_bridge_widowx,right,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-b050-c73643a24a57efa9,C8,second_stack,50,groot_bridge_widowx,right,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b050-f3903fd0e1438934,C8,second_stack,50,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b051-4611e4afbdc3406f,C8,second_stack,51,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b053-1532d8965a99c5bd,C8,second_stack,53,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b054-464e06a408c22c52,C8,second_stack,54,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b054-b8af8e0b618556b1,C8,second_stack,54,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b054-eb4412ff4452359c,C8,second_stack,54,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b054-ffd87ee660d7a30a,C8,second_stack,54,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-b055-8650d3dc61f3d7c9,C8,second_stack,55,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,0,0,0
