episode_id,family,policy_id,block_id,goal,scenario,accepted_valid,success,failure_stage,failure_label,trigger_eligible,event_delivered,event_observed,motion_truncated_by_release,intervention_exposure_label
online_correction_v4-C8-b000-91e8217954816bb9,C8,groot_bridge_widowx,0,behind,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b000-fda78a23548c3377,C8,groot_bridge_widowx,0,behind,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b003-61e8e0c2f97f9680,C8,groot_bridge_widowx,3,behind,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b003-d91da6d1fc821c69,C8,groot_bridge_widowx,3,front,destination_static,1,0,transport,transport_incomplete,1,0,0,0,
online_correction_v4-C8-b005-b2b4f3677a516142,C8,groot_bridge_widowx,5,front,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b005-ebdb3ef349bae6db,C8,groot_bridge_widowx,5,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b005-ec6c6c83cb61b5bd,C8,groot_bridge_widowx,5,left,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b005-f38e872251fd7eae,C8,groot_bridge_widowx,5,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b006-4bdf1461c6ca0647,C8,groot_bridge_widowx,6,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b006-83edf72e90e1ed63,C8,groot_bridge_widowx,6,front,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b007-1ab1f439942c7fe9,C8,groot_bridge_widowx,7,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b010-28b5454a2a3f10b6,C8,groot_bridge_widowx,10,left,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b011-9010ab22cdfbad2c,C8,groot_bridge_widowx,11,left,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b011-91804421fb07fec6,C8,groot_bridge_widowx,11,front,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b012-04d926c8f4707973,C8,groot_bridge_widowx,12,front,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b013-0a4f8fbbc3a8e6ab,C8,groot_bridge_widowx,13,right,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b013-2a2792c2d6b45908,C8,groot_bridge_widowx,13,front,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b013-62747aefda1944a3,C8,groot_bridge_widowx,13,left,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b013-7cb127ee135b8cf9,C8,groot_bridge_widowx,13,left,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b013-e33f41f1fec5c5fe,C8,groot_bridge_widowx,13,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b014-60a16df5dbe0ee86,C8,groot_bridge_widowx,14,right,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b014-85d13f8fb34d55fc,C8,groot_bridge_widowx,14,right,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b015-3577776c11441843,C8,groot_bridge_widowx,15,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b015-654f8652862ab423,C8,groot_bridge_widowx,15,right,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b017-7b1967dee9cdd8d0,C8,groot_bridge_widowx,17,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b017-d47fb30399783565,C8,groot_bridge_widowx,17,behind,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b017-dc4e959abf2479fd,C8,groot_bridge_widowx,17,front,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b019-67555314289697c7,C8,groot_bridge_widowx,19,right,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b019-9a23ec84b47df4bf,C8,groot_bridge_widowx,19,front,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b021-38a1997b0c069297,C8,groot_bridge_widowx,21,left,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b021-b5d0476e2582af4d,C8,groot_bridge_widowx,21,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b022-3b7a6cafa4deeeec,C8,groot_bridge_widowx,22,behind,destination_static,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b023-21232c75a5c87b73,C8,groot_bridge_widowx,23,behind,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b023-d981b7ab74c7aeec,C8,groot_bridge_widowx,23,front,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b024-4a4b19f33ff7c73f,C8,groot_bridge_widowx,24,left,move_stop,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b024-9d4b06d804590912,C8,groot_bridge_widowx,24,behind,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b024-fdabbd7bf59f007d,C8,groot_bridge_widowx,24,left,original_sham,1,0,pickup,no_grasp,0,0,0,0,
online_correction_v4-C8-b026-49a736129b51ef9b,C8,groot_bridge_widowx,26,left,destination_static,1,0,pickup,no_grasp,0,0,0,0,
