metric,value
campaign_export_status,complete
original_planned_policy_episodes,17664
achievable_policy_episodes,1920
scientifically_blocked_episodes,15744
pre_repair_c7_excluded_episodes,279
c7_coverage_label,768/768 (100.0%)
c6_pilot_coverage_label,24/24 (100.0%)
c8_pilot_coverage_label,24/24 (100.0%)
c8_confirmatory_coverage_label,768/768 (100.0%)
c6_confirmatory_coverage_label,384/384
c6_confirmatory_planned_episodes,384
c7_accepted_valid_unique,768
c7_valid_success_records,0
criteria_amended,False
