episode_id,family,fixture,block_id,policy_id,goal,wording,scenario,named_reference,planned,accepted_valid,missing_valid,infra_invalid,blocked,trigger_eligible,event_delivered,event_observed
online_correction_v4-C8-pilot-00-0bf2e78e5ced6c5a,C8,second_stack,0,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-01-1d4cab9568fc42c8,C8,second_stack,1,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-02-154ebbe5f7cbc47c,C8,second_stack,2,groot_bridge_widowx,front,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-03-1628ce075324cf9e,C8,second_stack,3,groot_bridge_widowx,behind,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-04-8b0c08476c91bf06,C8,second_stack,4,groot_bridge_widowx,left,direct,original_sham,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-05-535038c3300b2796,C8,second_stack,5,groot_bridge_widowx,right,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-06-474d6da3c43fa25d,C8,second_stack,6,groot_bridge_widowx,front,direct,original_sham,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-07-2b398650a93bb360,C8,second_stack,7,groot_bridge_widowx,behind,direct,original_sham,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-08-b55f10ffe9f85392,C8,second_stack,8,groot_bridge_widowx,left,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-09-30b0a5377f012e88,C8,second_stack,9,groot_bridge_widowx,right,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-10-4926da4f81222fed,C8,second_stack,10,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-11-8d890980aa0297db,C8,second_stack,11,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-12-0890cdc04cf30e56,C8,second_stack,12,groot_bridge_widowx,left,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-13-c47aa8d115143aff,C8,second_stack,13,groot_bridge_widowx,right,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-14-9574ad6678ef54e7,C8,second_stack,14,groot_bridge_widowx,front,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-15-24eded7c07e0f090,C8,second_stack,15,groot_bridge_widowx,behind,direct,destination_static,single,1,1,0,0,0,1,0,0
online_correction_v4-C8-pilot-16-7af99d4c162bda2e,C8,second_stack,16,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,1,1,0
online_correction_v4-C8-pilot-17-14732d71a24076c2,C8,second_stack,17,groot_bridge_widowx,right,direct,move_stop,single,1,1,0,0,0,1,1,0
online_correction_v4-C8-pilot-18-b0709b65da6b66de,C8,second_stack,18,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-19-bc03a05bebafc00e,C8,second_stack,19,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,1,1,0
online_correction_v4-C8-pilot-20-125737927b7e9378,C8,second_stack,20,groot_bridge_widowx,left,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-21-32338204f1d7adcc,C8,second_stack,21,groot_bridge_widowx,right,direct,move_stop,single,1,1,0,0,0,0,0,0
online_correction_v4-C8-pilot-22-940c804a4dc34516,C8,second_stack,22,groot_bridge_widowx,front,direct,move_stop,single,1,1,0,0,0,1,1,0
online_correction_v4-C8-pilot-23-abf9ffc1676ad361,C8,second_stack,23,groot_bridge_widowx,behind,direct,move_stop,single,1,1,0,0,0,0,0,0
