episode_id,family,policy_id,block_id,accepted_valid,t_event_planned_s,t_motion_actual_onset_s,motion_fraction_observed,commanded_peak_speed_m_s,achieved_peak_speed_m_s,observation_delay_s,inference_dispatch_delay_s,queue_execution_delay_s,physical_response_delay_s,inference_wall_time_s
online_correction_v4-C8-pilot-00-0bf2e78e5ced6c5a,C8,groot_bridge_widowx,0,1,,,,,,,,,,
online_correction_v4-C8-pilot-01-1d4cab9568fc42c8,C8,groot_bridge_widowx,1,1,,,,,,,,,,
online_correction_v4-C8-pilot-02-154ebbe5f7cbc47c,C8,groot_bridge_widowx,2,1,,,,,,,,,,
online_correction_v4-C8-pilot-03-1628ce075324cf9e,C8,groot_bridge_widowx,3,1,,,,,,,,,,
online_correction_v4-C8-pilot-04-8b0c08476c91bf06,C8,groot_bridge_widowx,4,1,,,,,,,,,,
online_correction_v4-C8-pilot-05-535038c3300b2796,C8,groot_bridge_widowx,5,1,,,,,,,,,,
online_correction_v4-C8-pilot-06-474d6da3c43fa25d,C8,groot_bridge_widowx,6,1,,,,,,,,,,
online_correction_v4-C8-pilot-07-2b398650a93bb360,C8,groot_bridge_widowx,7,1,,,,,,,,,,
online_correction_v4-C8-pilot-08-b55f10ffe9f85392,C8,groot_bridge_widowx,8,1,,,,,,,,,,
online_correction_v4-C8-pilot-09-30b0a5377f012e88,C8,groot_bridge_widowx,9,1,,,,,,,,,,
online_correction_v4-C8-pilot-10-4926da4f81222fed,C8,groot_bridge_widowx,10,1,,,,,,,,,,
online_correction_v4-C8-pilot-11-8d890980aa0297db,C8,groot_bridge_widowx,11,1,,,,,,,,,,
online_correction_v4-C8-pilot-12-0890cdc04cf30e56,C8,groot_bridge_widowx,12,1,,,,,,,,,,
online_correction_v4-C8-pilot-13-c47aa8d115143aff,C8,groot_bridge_widowx,13,1,,,,,,,,,,
online_correction_v4-C8-pilot-14-9574ad6678ef54e7,C8,groot_bridge_widowx,14,1,,,,,,,,,,
online_correction_v4-C8-pilot-15-24eded7c07e0f090,C8,groot_bridge_widowx,15,1,,,,,,,,,,
online_correction_v4-C8-pilot-16-7af99d4c162bda2e,C8,groot_bridge_widowx,16,1,,,,,,,,,,
online_correction_v4-C8-pilot-17-14732d71a24076c2,C8,groot_bridge_widowx,17,1,,,,,,,,,,
online_correction_v4-C8-pilot-18-b0709b65da6b66de,C8,groot_bridge_widowx,18,1,,,,,,,,,,
online_correction_v4-C8-pilot-19-bc03a05bebafc00e,C8,groot_bridge_widowx,19,1,,,,,,,,,,
online_correction_v4-C8-pilot-20-125737927b7e9378,C8,groot_bridge_widowx,20,1,,,,,,,,,,
online_correction_v4-C8-pilot-21-32338204f1d7adcc,C8,groot_bridge_widowx,21,1,,,,,,,,,,
online_correction_v4-C8-pilot-22-940c804a4dc34516,C8,groot_bridge_widowx,22,1,,,,,,,,,,
online_correction_v4-C8-pilot-23-abf9ffc1676ad361,C8,groot_bridge_widowx,23,1,,,,,,,,,,
