split,source_collection,trajectory_count,mean_episode_length,median_episode_length,mean_segment_count,median_segment_count,cohort
train,bridge_data_v2,67,37.507462686567166,38.0,5.0,5.0,pilot
train,icra,13,47.61538461538461,45.0,5.076923076923077,5.0,pilot
train,rss,48,36.4375,37.5,5.3125,5.5,pilot
validation,bridge_data_v2,17,33.529411764705884,36.0,5.117647058823529,5.0,pilot
validation,icra,2,48.0,48.0,4.0,4.0,pilot
validation,rss,13,31.692307692307693,31.0,5.076923076923077,5.0,pilot
test,bridge_data_v2,17,33.11764705882353,34.0,5.0588235294117645,5.0,pilot
test,icra,3,51.666666666666664,54.0,5.0,5.0,pilot
test,rss,12,33.083333333333336,33.0,5.0,5.0,pilot
train,bridge_data_v2,266,37.03007518796993,37.0,5.1992481203007515,5.0,target
train,icra,53,45.716981132075475,45.0,5.188679245283019,5.0,target
train,rss,193,36.259067357512954,36.0,5.357512953367876,6.0,target
validation,bridge_data_v2,34,32.44117647058823,32.0,5.147058823529412,5.0,target
validation,icra,4,50.5,53.0,4.5,4.0,target
validation,rss,26,32.42307692307692,31.0,5.230769230769231,5.0,target
test,bridge_data_v2,69,33.81159420289855,34.0,5.159420289855072,5.0,target
test,icra,12,42.333333333333336,41.5,4.5,4.0,target
test,rss,47,35.1063829787234,35.0,5.170212765957447,5.0,target
