task_dir,episode_index,replan_index,sampling_seed,requested_relation,imagined_requested,reliable_future_frames,requested_future_frames,execution_end_step,executed_relation,executed_requested,execution_geometry_source,quadrant,chunk_dir
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,0,5100000,left,False,4,0,31,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_000
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,1,5100001,left,,1,0,63,neutral,False,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_001
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,2,5100002,left,,1,1,95,neutral,False,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_002
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,3,5100003,left,False,2,0,127,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_003
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,4,5100004,left,,1,0,159,neutral,False,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_004
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,5,5100005,left,False,2,0,191,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_005
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,6,5100006,left,False,2,0,223,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_006
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,7,5100007,left,False,4,0,255,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_007
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,8,5100008,left,False,4,0,287,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_008
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,9,5100009,left,False,4,0,319,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_009
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,10,5100010,left,False,4,0,351,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_010
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,11,5100011,left,False,4,0,383,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_011
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,12,5100012,left,False,2,0,415,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_012
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,13,5100013,left,False,4,0,447,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_013
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask,0,14,5100014,left,False,3,0,449,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_left_5100/RubiksCubeLeftOfBowlMatchedTask/predicted_chunks/episode_000/chunk_014
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_right_5100/RubiksCubeRightOfBowlMatchedTask,0,0,5100000,right,False,4,0,31,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_right_5100/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_000/chunk_000
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_right_5100/RubiksCubeRightOfBowlMatchedTask,0,1,5100001,right,False,3,0,63,neutral,False,rigid_object_root_pose_in_robot_frame,neither_imagines_nor_executes_requested,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_right_5100/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_000/chunk_001
/home/ali/projects/RoboLab/output/v1_calibration_cosmos_right_5100/RubiksCubeRightOfBowlMatchedTask,0,2,5100002,right,,0,0,95,neutral,False,rigid_object_root_pose_in_robot_frame,uncertain_future,/home/ali/projects/RoboLab/output/v1_calibration_cosmos_right_5100/RubiksCubeRightOfBowlMatchedTask/predicted_chunks/episode_000/chunk_002
