comparison,condition_id,direction,left_episode_index,right_episode_index,mae_0_255,nonidentical_channel_fraction,p99_abs_difference,max_abs_difference
within_condition_direction,cosmos_canonical_static32,left,0,1,3.4427295524691357,0.7407590663580247,21.0,70
within_condition_direction,cosmos_canonical_static32,left,0,2,3.6732783564814815,0.7502903163580247,24.0,75
within_condition_direction,cosmos_canonical_static32,left,0,3,3.4919328703703703,0.7433063271604938,23.0,63
within_condition_direction,cosmos_canonical_static32,left,0,4,4.551819058641975,0.754242862654321,26.0,75
within_condition_direction,cosmos_canonical_static32,left,0,5,4.12664737654321,0.7437519290123457,22.0,74
within_condition_direction,cosmos_canonical_static32,left,0,6,3.8367505787037035,0.7462220293209877,22.0,65
within_condition_direction,cosmos_canonical_static32,left,0,7,3.455462962962963,0.7394193672839506,21.0,88
within_condition_direction,cosmos_canonical_static32,left,0,8,3.442836612654321,0.7421797839506172,19.0,103
within_condition_direction,cosmos_canonical_static32,left,0,9,3.5208902391975307,0.7386766975308642,24.0,76
within_condition_direction,cosmos_canonical_static32,left,1,2,2.814833140432099,0.7065731095679012,19.0,88
within_condition_direction,cosmos_canonical_static32,left,1,3,3.1884008487654323,0.7134124228395061,22.0,86
within_condition_direction,cosmos_canonical_static32,left,1,4,3.684623842592593,0.7191743827160494,22.0,87
within_condition_direction,cosmos_canonical_static32,left,1,5,3.4025462962962965,0.7148890817901234,20.0,95
within_condition_direction,cosmos_canonical_static32,left,1,6,3.0336120756172837,0.7065721450617284,21.0,82
within_condition_direction,cosmos_canonical_static32,left,1,7,3.110198688271605,0.7111410108024692,22.0,98
within_condition_direction,cosmos_canonical_static32,left,1,8,2.9027420910493826,0.7065518904320988,19.0,91
within_condition_direction,cosmos_canonical_static32,left,1,9,3.250782214506173,0.710078125,23.0,91
within_condition_direction,cosmos_canonical_static32,left,2,3,3.020080054012346,0.7169849537037037,19.0,87
within_condition_direction,cosmos_canonical_static32,left,2,4,3.6199546682098767,0.7231828703703703,20.0,82
within_condition_direction,cosmos_canonical_static32,left,2,5,3.2322559799382717,0.719380787037037,18.0,99
within_condition_direction,cosmos_canonical_static32,left,2,6,2.9127256944444446,0.7165393518518518,19.0,75
within_condition_direction,cosmos_canonical_static32,left,2,7,3.124196566358025,0.7248148148148148,21.0,90
within_condition_direction,cosmos_canonical_static32,left,2,8,3.165343364197531,0.7190798611111111,21.0,97
within_condition_direction,cosmos_canonical_static32,left,2,9,3.4505574845679012,0.7223746141975309,26.0,98
within_condition_direction,cosmos_canonical_static32,left,3,4,4.085480324074074,0.7181404320987654,23.0,87
within_condition_direction,cosmos_canonical_static32,left,3,5,3.7898456790123456,0.7215721450617284,21.0,100
within_condition_direction,cosmos_canonical_static32,left,3,6,3.4504812885802467,0.7224768518518518,20.0,90
