condition_id,model_id,model_class,wording,analysis_tier,controller,open_loop_horizon,direction,run,episode_seed,valid,binary_success,steps,correct_cube_interacted,first_interaction_step,correct_cube_grabbed,pickup_step,final_requested_relation,first_requested_relation_step,post_pick_relation_transition,paper_progression,relation_only_progression,strict_pick_then_place_progression,final_cube_minus_bowl_y_m,requested_signed_final_offset_m,initial_requested_relation,first_recorded_cube_centroid_m,first_recorded_bowl_centroid_m,relation_geometry_source,physical_initial_state_sha256,full_recorded_initial_state_sha256,raw_robolab_score,policy_inference_s,policy_inference_avg_ms,estimated_policy_requests,mean_policy_request_s,env_step_s,wall_total_s,hdf5_path,log_path
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,0,6100,True,False,450,True,308,True,308,False,,False,0.5,0.5,0.5,0.0004633665084838867,0.0004633665084838867,False,"[0.292236328125, 0.1524658203125, 0.07867431640625]","[0.442626953125, 0.1265869140625, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.6666666865348816,8.099,18.0,30,0.2699666666666667,73.282,81.381,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_0.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_0_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,1,6101,True,False,450,False,,False,,False,,False,0.0,0.0,0.0,-0.006518840789794922,-0.006518840789794922,False,"[0.290283203125, 0.155029296875, 0.07867431640625]","[0.44287109375, 0.1263427734375, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.3333333432674408,7.908,17.6,30,0.2636,74.328,82.236,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_1.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_1_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,2,6102,True,False,450,False,,False,,False,,False,0.0,0.0,0.0,0.003004610538482666,0.003004610538482666,False,"[0.290283203125, 0.156494140625, 0.07867431640625]","[0.44287109375, 0.126708984375, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.3333333432674408,7.937,17.6,30,0.26456666666666667,74.397,82.334,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_2.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_2_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,3,6103,True,False,450,False,,False,,False,,False,0.0,0.0,0.0,0.0025879591703414917,0.0025879591703414917,False,"[0.28955078125, 0.157958984375, 0.07867431640625]","[0.443115234375, 0.1268310546875, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.3333333432674408,7.902,17.6,30,0.2634,73.6,81.502,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_3.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_3_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,4,6104,True,False,450,True,152,True,152,False,,False,0.5,0.5,0.5,-0.000738486647605896,-0.000738486647605896,False,"[0.289794921875, 0.1580810546875, 0.07867431640625]","[0.443115234375, 0.1268310546875, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.6666666865348816,7.926,17.6,30,0.2642,73.995,81.921,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_4.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_4_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,5,6105,True,False,450,False,,False,,False,,False,0.0,0.0,0.0,0.0240841805934906,0.0240841805934906,False,"[0.290771484375, 0.1553955078125, 0.07867431640625]","[0.443115234375, 0.126708984375, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.3333333432674408,7.946,17.7,30,0.26486666666666664,74.804,82.75,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_5.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_5_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,6,6106,True,False,450,False,,False,,False,,False,0.0,0.0,0.0,0.02918335795402527,0.02918335795402527,False,"[0.291259765625, 0.1578369140625, 0.07867431640625]","[0.442626953125, 0.1263427734375, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.3333333432674408,7.938,17.6,30,0.2646,74.235,82.173,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_6.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_6_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,7,6107,True,False,450,False,,False,,False,,False,0.0,0.0,0.0,-0.002477198839187622,-0.002477198839187622,False,"[0.29150390625, 0.1568603515625, 0.07867431640625]","[0.443115234375, 0.126708984375, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.3333333432674408,7.924,17.6,30,0.26413333333333333,74.243,82.167,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_7.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_7_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,8,6108,True,False,450,True,111,True,111,False,,False,0.5,0.5,0.5,0.023491621017456055,0.023491621017456055,False,"[0.29052734375, 0.1553955078125, 0.07867431640625]","[0.44287109375, 0.1270751953125, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.6666666865348816,7.937,17.6,30,0.26456666666666667,76.505,84.442,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_8.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_8_env0.json
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,9,6109,True,False,450,True,95,True,95,False,,False,0.5,0.5,0.5,0.06325072050094604,0.06325072050094604,False,"[0.290283203125, 0.1553955078125, 0.07867431640625]","[0.44287109375, 0.1265869140625, 0.07733154296875]",rigid_object_root_pose_in_robot_frame,5da70e5190e75ede26d49b82bd15bde7731a94364c2aac9f66afcba565d6b1a8,1b1ddf04672b0ac9dfdaeec96d84829c23a4fd3e250b3a62c01745a3cb3ab470,0.6666666865348816,7.901,17.6,30,0.26336666666666664,75.388,83.289,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_9.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_9_env0.json
