condition_id,model_id,model_class,wording,analysis_tier,controller,open_loop_horizon,direction,successes,episodes,success_rate,grabbed_count,final_relation_count,strict_completion_count,mean_paper_progression,mean_relation_only_progression,mean_strict_progression,mean_requested_signed_final_offset_m,median_steps,mean_policy_inference_avg_ms,mean_policy_request_s,mean_wall_total_s
cosmos_canonical_static32,cosmos3_edge_droid_wam,WAM,canonical,original_confirmatory,static,32,left,7,10,0.7,10,7,7,0.85,0.85,0.85,0.07717157378792763,294.0,204.34999999999997,6.095441222943722,139.5667
cosmos_canonical_static32,cosmos3_edge_droid_wam,WAM,canonical,original_confirmatory,static,32,right,8,10,0.8,10,9,8,0.9,0.95,0.9,0.34697182215750216,215.0,218.98000000000002,6.394804166666667,146.14749999999998
cosmos_contrastive_static32,cosmos3_edge_droid_wam,WAM,contrastive_goal,post_interim_direct_stress,static,32,left,1,10,0.1,10,1,1,0.55,0.55,0.55,-0.09802074991166591,450.0,199.67000000000002,6.023099393939394,165.59390000000002
cosmos_contrastive_static32,cosmos3_edge_droid_wam,WAM,contrastive_goal,post_interim_direct_stress,static,32,right,9,10,0.9,10,9,9,0.95,0.95,0.95,0.3182452693581581,236.5,198.02,6.023370606060606,90.19800000000001
cosmos_declarative_static32,cosmos3_edge_droid_wam,WAM,declarative_goal,post_interim_direct_stress,static,32,left,10,10,1.0,9,10,9,0.95,0.95,0.9,0.14343697279691697,168.5,202.02,6.066852034632035,75.35549999999999
cosmos_declarative_static32,cosmos3_edge_droid_wam,WAM,declarative_goal,post_interim_direct_stress,static,32,right,9,10,0.9,10,9,9,0.95,0.95,0.95,0.36512206569314004,245.0,201.10999999999999,6.019967646520147,98.6381
cosmos_short_static32,cosmos3_edge_droid_wam,WAM,short_paraphrase,original_confirmatory,static,32,left,4,10,0.4,10,4,4,0.7,0.7,0.7,-0.05918543338775635,450.0,219.79000000000002,6.697268939393939,178.09229999999997
cosmos_short_static32,cosmos3_edge_droid_wam,WAM,short_paraphrase,original_confirmatory,static,32,right,10,10,1.0,10,10,10,1.0,1.0,1.0,0.3805990792810917,168.5,196.06,6.038619671717172,74.4463
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,left,0,10,0.0,4,0,0,0.2,0.2,0.2,0.013633129000663758,450.0,17.65,0.26472666666666667,82.4195
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,static,15,right,8,10,0.8,10,8,8,0.9,0.9,0.9,0.09822680363431573,279.0,17.85,0.26017811507936506,53.0852
pi05_contrastive_static15,pi05_droid_vla,VLA,contrastive_goal,post_interim_direct_stress,static,15,left,2,10,0.2,6,2,2,0.4,0.4,0.4,0.03573813810944557,450.0,17.65,0.2638566666666667,71.72729999999999
pi05_contrastive_static15,pi05_droid_vla,VLA,contrastive_goal,post_interim_direct_stress,static,15,right,2,10,0.2,8,2,2,0.5,0.5,0.5,0.010411634482443333,450.0,17.71,0.26377761904761904,76.29910000000001
pi05_declarative_static15,pi05_droid_vla,VLA,declarative_goal,post_interim_direct_stress,static,15,left,0,10,0.0,5,0,0,0.25,0.25,0.25,0.02374166399240494,450.0,17.65,0.26481000000000005,82.5197
pi05_declarative_static15,pi05_droid_vla,VLA,declarative_goal,post_interim_direct_stress,static,15,right,7,10,0.7,10,7,7,0.85,0.85,0.85,0.13807828361168503,371.0,17.919999999999998,0.26255888266905514,64.6357
pi05_short_static15,pi05_droid_vla,VLA,short_paraphrase,original_confirmatory,static,15,left,1,10,0.1,5,1,1,0.3,0.3,0.3,0.025638739019632338,450.0,17.689999999999998,0.26271,77.13119999999999
pi05_short_static15,pi05_droid_vla,VLA,short_paraphrase,original_confirmatory,static,15,right,5,10,0.5,9,5,5,0.7,0.7,0.7,0.07109758891165256,406.5,17.699999999999996,0.2610769069733156,69.0979
