label,pair_keys,pairs,left_filter,right_filter,both_success,both_failure,left_success_right_failure,left_failure_right_success,discordant_pairs,two_sided_exact_mcnemar_p,interpretation_guardrail
pi05_droid_vla: canonical versus short paraphrase,"[""direction"", ""episode_seed""]",20,"{""controller"": ""static"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""canonical""}","{""controller"": ""static"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""short_paraphrase""}",5,11,3,1,4,0.625,Exploratory paired diagnostic; no multiplicity correction.
pi05_droid_vla: declarative versus contrastive direct task language,"[""direction"", ""episode_seed""]",20,"{""controller"": ""static"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""declarative_goal""}","{""controller"": ""static"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""contrastive_goal""}",2,11,5,2,7,0.453125,Exploratory paired diagnostic; no multiplicity correction.
pi05_droid_vla: canonical left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""canonical""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""canonical""}",0,2,0,8,8,0.0078125,Exploratory paired diagnostic; no multiplicity correction.
pi05_droid_vla: short_paraphrase left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""short_paraphrase""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""short_paraphrase""}",1,5,0,4,4,0.125,Exploratory paired diagnostic; no multiplicity correction.
pi05_droid_vla: declarative_goal left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""declarative_goal""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""declarative_goal""}",0,3,0,7,7,0.015625,Exploratory paired diagnostic; no multiplicity correction.
pi05_droid_vla: contrastive_goal left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""contrastive_goal""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""contrastive_goal""}",1,7,1,1,2,1.0,Exploratory paired diagnostic; no multiplicity correction.
cosmos3_edge_droid_wam: canonical versus short paraphrase,"[""direction"", ""episode_seed""]",20,"{""controller"": ""static"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""canonical""}","{""controller"": ""static"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""short_paraphrase""}",11,2,4,3,7,1.0,Exploratory paired diagnostic; no multiplicity correction.
cosmos3_edge_droid_wam: declarative versus contrastive direct task language,"[""direction"", ""episode_seed""]",20,"{""controller"": ""static"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""declarative_goal""}","{""controller"": ""static"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""contrastive_goal""}",10,1,9,0,9,0.00390625,Exploratory paired diagnostic; no multiplicity correction.
cosmos3_edge_droid_wam: canonical left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""canonical""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""canonical""}",5,0,2,3,5,1.0,Exploratory paired diagnostic; no multiplicity correction.
cosmos3_edge_droid_wam: short_paraphrase left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""short_paraphrase""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""short_paraphrase""}",4,0,0,6,6,0.03125,Exploratory paired diagnostic; no multiplicity correction.
cosmos3_edge_droid_wam: declarative_goal left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""declarative_goal""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""declarative_goal""}",9,0,1,0,1,1.0,Exploratory paired diagnostic; no multiplicity correction.
cosmos3_edge_droid_wam: contrastive_goal left versus right directional asymmetry,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""contrastive_goal""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""contrastive_goal""}",1,1,0,8,8,0.0078125,Exploratory paired diagnostic; no multiplicity correction.
canonical left: pi05 VLA versus Cosmos WAM at native horizons,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""canonical""}","{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""canonical""}",0,3,0,7,7,0.015625,Exploratory paired diagnostic; no multiplicity correction.
canonical right: pi05 VLA versus Cosmos WAM at native horizons,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""canonical""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""canonical""}",6,0,2,2,4,1.0,Exploratory paired diagnostic; no multiplicity correction.
short_paraphrase left: pi05 VLA versus Cosmos WAM at native horizons,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""short_paraphrase""}","{""controller"": ""static"", ""direction"": ""left"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""short_paraphrase""}",1,6,0,3,3,0.25,Exploratory paired diagnostic; no multiplicity correction.
short_paraphrase right: pi05 VLA versus Cosmos WAM at native horizons,"[""episode_seed""]",10,"{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""pi05_droid_vla"", ""open_loop_horizon"": 15, ""wording"": ""short_paraphrase""}","{""controller"": ""static"", ""direction"": ""right"", ""model_id"": ""cosmos3_edge_droid_wam"", ""open_loop_horizon"": 32, ""wording"": ""short_paraphrase""}",5,0,0,5,5,0.0625,Exploratory paired diagnostic; no multiplicity correction.
