wording,direction,task_dir,episode_index,chunks,certain_chunks,coverage_fraction,any_imagined_requested,any_executed_requested,terminal_imagined_requested,terminal_executed_requested,terminal_quadrant
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,0,11,7,0.6363636363636364,True,True,,True,uncertain_future
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,1,11,2,0.18181818181818182,False,True,,True,uncertain_future
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,2,15,8,0.5333333333333333,False,False,False,False,neither_imagines_nor_executes_requested
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,3,8,4,0.5,False,True,,True,uncertain_future
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,4,15,8,0.5333333333333333,False,False,False,False,neither_imagines_nor_executes_requested
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,5,8,4,0.5,False,True,,True,uncertain_future
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,6,15,8,0.5333333333333333,False,False,,False,uncertain_future
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,7,4,2,0.5,False,True,,True,uncertain_future
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,8,7,4,0.5714285714285714,False,True,,True,uncertain_future
canonical,left,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeLeftOfBowlMatchedTask,9,5,4,0.8,True,True,True,True,imagines_requested_executes_requested
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,0,12,7,0.5833333333333334,False,True,,True,uncertain_future
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,1,6,4,0.6666666666666666,True,True,True,True,imagines_requested_executes_requested
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,2,8,4,0.5,False,True,,True,uncertain_future
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,3,8,3,0.375,False,True,,True,uncertain_future
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,4,5,4,0.8,True,True,True,True,imagines_requested_executes_requested
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,5,15,12,0.8,False,False,False,False,neither_imagines_nor_executes_requested
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,6,6,3,0.5,True,True,True,True,imagines_requested_executes_requested
canonical,right,/home/ali/projects/RoboLab/output/v1_cosmos_canonical/RubiksCubeRightOfBowlMatchedTask,7,5,3,0.6,True,True,,True,uncertain_future
