cross_camera_threshold_m,wording,direction,chunks,certain_chunks,coverage_fraction,imagined_requested_count_among_certain,imagined_requested_rate_among_certain,executed_requested_count_among_certain,executed_requested_count_all,executed_positive_future_coverage_fraction,imagination_execution_agreement_count_among_certain,imagination_execution_agreement_among_certain
0.1,canonical,left,99,5,0.050505050505050504,2,0.4,1,9,0.1111111111111111,4,0.8
0.1,canonical,right,86,1,0.011627906976744186,0,0.0,0,16,0.0,1,1.0
0.1,short_paraphrase,left,125,11,0.088,0,0.0,0,4,0.0,11,1.0
0.1,short_paraphrase,right,64,2,0.03125,0,0.0,0,21,0.0,2,1.0
0.1,declarative_goal,left,66,7,0.10606060606060606,0,0.0,0,15,0.0,7,1.0
0.1,declarative_goal,right,87,1,0.011494252873563218,0,0.0,0,16,0.0,1,1.0
0.1,contrastive_goal,left,146,10,0.0684931506849315,0,0.0,0,1,0.0,10,1.0
0.1,contrastive_goal,right,79,4,0.05063291139240506,0,0.0,0,15,0.0,4,1.0
0.15,canonical,left,99,39,0.3939393939393939,2,0.05128205128205128,1,9,0.1111111111111111,38,0.9743589743589743
0.15,canonical,right,86,27,0.313953488372093,1,0.037037037037037035,1,16,0.0625,27,1.0
0.15,short_paraphrase,left,125,44,0.352,1,0.022727272727272728,1,4,0.25,44,1.0
0.15,short_paraphrase,right,64,23,0.359375,5,0.21739130434782608,5,21,0.23809523809523808,23,1.0
0.15,declarative_goal,left,66,27,0.4090909090909091,0,0.0,1,15,0.06666666666666667,26,0.9629629629629629
0.15,declarative_goal,right,87,26,0.2988505747126437,0,0.0,0,16,0.0,26,1.0
0.15,contrastive_goal,left,146,54,0.3698630136986301,0,0.0,0,1,0.0,54,1.0
0.15,contrastive_goal,right,79,22,0.27848101265822783,1,0.045454545454545456,1,15,0.06666666666666667,22,1.0
0.2,canonical,left,99,51,0.5151515151515151,3,0.058823529411764705,1,9,0.1111111111111111,49,0.9607843137254902
0.2,canonical,right,86,54,0.627906976744186,7,0.12962962962962962,6,16,0.375,53,0.9814814814814815
0.2,short_paraphrase,left,125,71,0.568,1,0.014084507042253521,2,4,0.5,70,0.9859154929577465
0.2,short_paraphrase,right,64,31,0.484375,7,0.22580645161290322,6,21,0.2857142857142857,28,0.9032258064516129
0.2,declarative_goal,left,66,34,0.5151515151515151,1,0.029411764705882353,2,15,0.13333333333333333,33,0.9705882352941176
0.2,declarative_goal,right,87,47,0.5402298850574713,4,0.0851063829787234,4,16,0.25,47,1.0
0.2,contrastive_goal,left,146,89,0.6095890410958904,0,0.0,0,1,0.0,89,1.0
0.2,contrastive_goal,right,79,44,0.5569620253164557,4,0.09090909090909091,4,15,0.26666666666666666,44,1.0
