condition_id,model_id,model_class,wording,analysis_tier,direction,run,episode_seed,instruction,binary_success,outcome_stage,outcome_stage_label,endpoint_class,final_requested_relation,final_opposite_relation,verified_pickup,pickup_step,release_step,first_interaction_step,first_requested_relation_step,steps,duration_s,final_cube_minus_bowl_robot_x_m,final_cube_minus_bowl_robot_y_m,final_cube_minus_bowl_robot_z_m,requested_signed_final_offset_m,cube_xy_path_length_m,hdf5_path,log_path,episode_result_path,figure_path
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,0,6100,Put the rubiks cube to the left of the bowl,False,picked_never_entered_goal,picked · never entered goal,neutral_region,False,False,True,308,320,308,,450,30.0,-0.1469639241695404,0.0004633665084838867,0.0037562772631645203,0.0004633665084838867,0.0623100907371805,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_0.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_0_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6100__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,1,6101,Put the rubiks cube to the left of the bowl,False,no_cube_interaction,no cube interaction,neutral_region,False,False,False,,,,,450,30.0,-0.15489640831947327,-0.006518840789794922,0.00375230610370636,-0.006518840789794922,0.07384473347023374,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_1.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_1_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6101__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,2,6102,Put the rubiks cube to the left of the bowl,False,no_cube_interaction,no cube interaction,neutral_region,False,False,False,,,,,450,30.0,-0.14353737235069275,0.003004610538482666,0.003752410411834717,0.003004610538482666,0.07267244688713448,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_2.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_2_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6102__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,3,6103,Put the rubiks cube to the left of the bowl,False,no_cube_interaction,no cube interaction,neutral_region,False,False,False,,,,,450,30.0,-0.14252743124961853,0.0025879591703414917,0.0037518367171287537,0.0025879591703414917,0.0002351155213329448,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_3.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_3_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6103__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,4,6104,Put the rubiks cube to the left of the bowl,False,picked_never_entered_goal,picked · never entered goal,neutral_region,False,False,True,152,161,152,,450,30.0,-0.1297287940979004,-0.000738486647605896,0.0037520676851272583,-0.000738486647605896,0.021833259665272112,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_4.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_4_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6104__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,5,6105,Put the rubiks cube to the left of the bowl,False,no_cube_interaction,no cube interaction,neutral_region,False,False,False,,,,,450,30.0,-0.13122349977493286,0.0240841805934906,0.0037509500980377197,0.0240841805934906,0.05218987280491509,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_5.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_5_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6105__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,6,6106,Put the rubiks cube to the left of the bowl,False,no_cube_interaction,no cube interaction,neutral_region,False,False,False,,,,,450,30.0,-0.12665382027626038,0.02918335795402527,0.0037527456879615784,0.02918335795402527,0.06202571561974405,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_6.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_6_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6106__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,7,6107,Put the rubiks cube to the left of the bowl,False,no_cube_interaction,no cube interaction,neutral_region,False,False,False,,,,,450,30.0,-0.13505372405052185,-0.002477198839187622,0.0037544965744018555,-0.002477198839187622,0.0598738387122883,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_7.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_7_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6107__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,8,6108,Put the rubiks cube to the left of the bowl,False,picked_never_entered_goal,picked · never entered goal,neutral_region,False,False,True,111,112,111,,450,30.0,-0.15022501349449158,0.023491621017456055,0.0037515684962272644,0.023491621017456055,0.24925561781457206,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_8.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_8_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6108__failure.png
pi05_canonical_static15,pi05_droid_vla,VLA,canonical,original_confirmatory,left,9,6109,Put the rubiks cube to the left of the bowl,False,picked_never_entered_goal,picked · never entered goal,neutral_region,False,False,True,95,269,95,,450,30.0,-0.08059757947921753,0.06325072050094604,0.03045070171356201,0.06325072050094604,0.22322996555247,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/run_9.hdf5,/home/ali/projects/RoboLab/output/v1_pi05_canonical/RubiksCubeLeftOfBowlMatchedTask/log_9_env0.json,/home/ali/projects/RoboLab/output/v1_pi05_canonical/episode_results.jsonl,artifacts/vla_wam_shared_v1/trajectory_evidence/episodes/pi05_droid_vla__canonical__left__seed-6109__failure.png
