model_class,model,arena,evidence_kind,publication_role,path,bytes,sha256,source_manifest
WAM,Cosmos3 Nano Policy DROID — V2-A015 g=1,DROID / RoboLab,actual rollout,CFG ablation complete actual execution,artifacts/vla_wam_shared_v2/media/cfg_v2a015/cosmos3_nano_g1/cosmos3_nano_no_cfg_g1_all_seeds_actual.mp4,2298283,9cfe25e80ebd033adafb9b081f89203080471af8b42b7f0b03fa702c681da0f7,artifacts/vla_wam_shared_v2/media/cfg_v2a015/cosmos3_nano_g1/media_manifest.json
WAM,Cosmos3 Nano Policy DROID — V2-A015 g=1,DROID / RoboLab,model prediction / local horizon,CFG ablation complete local prediction,artifacts/vla_wam_shared_v2/media/cfg_v2a015/cosmos3_nano_g1/cosmos3_nano_no_cfg_g1_all_seeds_local_predictions.mp4,7962854,9a53dba82a0348805462c083c673e3be49804be3f9eda3304e29a24466ab666e,artifacts/vla_wam_shared_v2/media/cfg_v2a015/cosmos3_nano_g1/media_manifest.json
WAM,DreamZero DROID — V2-A015 s=2,DROID / RoboLab,actual rollout,CFG ablation complete actual execution,artifacts/vla_wam_shared_v2/media/cfg_v2a015/dreamzero_action_cfg_s2/dreamzero_action_cfg_s2_all_seeds_actual.mp4,2180954,de40f08c4d83f3b54a1537b6706f3d1b1cdcc729fd9d7804aecf2322f8d889a6,artifacts/vla_wam_shared_v2/media/cfg_v2a015/dreamzero_action_cfg_s2/media_manifest.json
WAM,DreamZero DROID — V2-A015 s=2,DROID / RoboLab,model prediction / imagination,CFG ablation complete imagination,artifacts/vla_wam_shared_v2/media/cfg_v2a015/dreamzero_action_cfg_s2/dreamzero_action_cfg_s2_all_seeds_imagination.mp4,22135191,57eaf8a1ea2283f37b52c30396aa5ddd1b2d653d18a471d828725e97b96c28ec,artifacts/vla_wam_shared_v2/media/cfg_v2a015/dreamzero_action_cfg_s2/media_manifest.json
WAM,Cosmos3 Edge base — DROID,DROID / RoboLab,prediction-only interface probe,canonical gallery,artifacts/vla_wam_shared_v2/media/cosmos3_edge_base_v2a013/cosmos3_edge_base_v2a013_seed8300_paired_model_prediction.mp4,465926,42cf54de658b568716c91d004d3a17c2f3b53cd17e69a1f40d4fb93af8f1eb1c,artifacts/vla_wam_shared_v2/media/cosmos3_edge_base_v2a013/media_manifest.json
WAM,Cosmos3 Edge DROID,DROID / RoboLab,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/cosmos3_edge_droid/cosmos3_edge_seed8302_paired.mp4,2612489,5eed8b8468aff6070617e126eac1c67a19fd62309279ca1a06f2d3b5abf4bdc9,artifacts/vla_wam_shared_v2/media/cosmos3_edge_droid/media_manifest.json
WAM,Cosmos3 Nano Policy DROID — V2-A011,DROID / RoboLab,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/cosmos3_nano_policy_droid_v2a011/cosmos3_nano_v2a011_seed8300_paired_actual.mp4,2175403,17f7d7f9120020db70bb007c0fee9e46c450b043b5132c30d72c1dc5b745f706,artifacts/vla_wam_shared_v2/media/cosmos3_nano_policy_droid_v2a011/media_manifest.json
WAM,Cosmos3 Nano Policy DROID — V2-A011,DROID / RoboLab,model prediction,canonical paired comparison,artifacts/vla_wam_shared_v2/media/cosmos3_nano_policy_droid_v2a011/cosmos3_nano_v2a011_seed8300_paired_model_prediction.mp4,699636,61c8664966304813f96ad59932879ba8f4fe094176e055b279a719feabe40938,artifacts/vla_wam_shared_v2/media/cosmos3_nano_policy_droid_v2a011/media_manifest.json
WAM,Cosmos3-Super base,DROID / RoboLab conditioning image only,prediction-only interface probe,canonical gallery,artifacts/vla_wam_shared_v2/media/cosmos3_super_base_v2a014/cosmos3_super_v2a014_paired_prediction_and_actions.mp4,423424,b43e6df303cca34367c57515cc5191668d5bf9c88b5d4d9825d44e56c7dd2bc1,artifacts/vla_wam_shared_v2/media/cosmos3_super_base_v2a014/media_manifest.json
WAM,DreamZero DROID,DROID / RoboLab,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/dreamzero_droid/dreamzero_droid_seed8300_paired.mp4,261958,cc00f5b5de10152b73d6a86d76c99ac3970dfa2a1d021b53f49d0ecf7e2231d2,artifacts/vla_wam_shared_v2/media/dreamzero_droid/media_manifest.json
WAM,DreamZero DROID,DROID / RoboLab,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/dreamzero_droid/dreamzero_droid_seed8301_paired.mp4,466133,f885b845365a990cd700350f0e5e2b773930217cfcc455a8e665850ac80025ec,artifacts/vla_wam_shared_v2/media/dreamzero_droid/media_manifest.json
WAM,DreamZero DROID,DROID / RoboLab,actual rollout,canonical gallery,artifacts/vla_wam_shared_v2/media/dreamzero_droid/dreamzero_droid_seed8302_paired.mp4,457648,e9feb9ccdb3c8935f87ddf251327f95d9d93400719d25d8a91de04cd0fc6bb71,artifacts/vla_wam_shared_v2/media/dreamzero_droid/media_manifest.json
WAM,DreamZero DROID,DROID / RoboLab,model prediction / imagination,complete decode archive,artifacts/vla_wam_shared_v2/media/dreamzero_droid/imagination/official_decodes/behavioral_seed8300_left_official_decode.mp4,2485564,b28cbcfc69d131107f5987ea04f9a50864602015e09fd60fbfdb6789a831c5c3,artifacts/vla_wam_shared_v2/media/dreamzero_droid/imagination/imagination_media_manifest.json
WAM,DreamZero DROID,DROID / RoboLab,model prediction / imagination,complete decode archive,artifacts/vla_wam_shared_v2/media/dreamzero_droid/imagination/official_decodes/behavioral_seed8300_right_official_decode.mp4,2528227,806f9323708538b302afe307af9bb2b4c7285816f268498c2bb03c13a074bb83,artifacts/vla_wam_shared_v2/media/dreamzero_droid/imagination/imagination_media_manifest.json
WAM,DreamZero DROID,DROID / RoboLab,model prediction / imagination,complete decode archive,artifacts/vla_wam_shared_v2/media/dreamzero_droid/imagination/official_decodes/behavioral_seed8301_left_official_decode.mp4,5153669,41c24b9d997277aaaafceb276c947ba37a990f32a64a013f5d12c9e7be2932bb,artifacts/vla_wam_shared_v2/media/dreamzero_droid/imagination/imagination_media_manifest.json
