pair_id,environment_seed,requested_relation,requested_success,actions_executed,final_dx_m,failure_stage,future_interface
robotwin_pair_03,4300003,left,False,400,-0.037194035947322845,picked_never_entered_requested_region,latent_only_future_not_decodable
robotwin_pair_03,4300003,right,True,139,0.13191236555576324,success,latent_only_future_not_decodable
robotwin_pair_04,4300004,left,True,136,-0.11070992052555084,success,latent_only_future_not_decodable
robotwin_pair_04,4300004,right,False,400,0.06812755204737186,picked_never_entered_requested_region,latent_only_future_not_decodable
robotwin_pair_05,4300005,left,False,400,0.08901546150445938,picked_never_entered_requested_region,latent_only_future_not_decodable
robotwin_pair_05,4300005,right,True,140,0.15270116925239563,success,latent_only_future_not_decodable
robotwin_pair_06,4300006,left,True,129,-0.14130160957574844,success,latent_only_future_not_decodable
robotwin_pair_06,4300006,right,False,400,-0.07178466022014618,picked_never_entered_requested_region,latent_only_future_not_decodable
robotwin_pair_07,4300007,left,False,400,0.08615197613835335,picked_never_entered_requested_region,latent_only_future_not_decodable
robotwin_pair_07,4300007,right,True,133,0.12736405432224274,success,latent_only_future_not_decodable
robotwin_pair_08,4300008,left,True,133,-0.13582899421453476,success,latent_only_future_not_decodable
robotwin_pair_08,4300008,right,False,400,-0.11329678446054459,picked_never_entered_requested_region,latent_only_future_not_decodable
robotwin_pair_09,4300009,left,False,400,0.16242416203022003,picked_never_entered_requested_region,latent_only_future_not_decodable
robotwin_pair_09,4300009,right,True,263,0.15151115134358406,success,latent_only_future_not_decodable
