model_id,pair_id,environment_seed,sampling_seed,requested_relation,prompt,requested_success,verified_pickup_proxy,ever_entered_requested_region,ever_released_in_requested_region,final_lateral_display_m,requested_signed_final_offset_m,failure_stage,actions_executed,wall_seconds,operational_wall_latency_valid,runtime_intervention_ids
pi0_fast_droid_vla,droid_pair_seed_8300,8300,8300,left,Put the Rubik's cube to the left of the bowl.,False,False,False,False,0.00263272225856781,-0.00263272225856781,no_object_interaction,450,91.62,True,
pi0_fast_droid_vla,droid_pair_seed_8300,8300,8300,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.37686651945114136,0.37686651945114136,success,311,67.375,True,
pi0_fast_droid_vla,droid_pair_seed_8301,8301,8301,left,Put the Rubik's cube to the left of the bowl.,False,True,False,False,0.0059059783816337585,-0.0059059783816337585,picked_never_entered_requested_region,450,92.31,True,
pi0_fast_droid_vla,droid_pair_seed_8301,8301,8301,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.16825086250901222,0.16825086250901222,success,261,55.324,True,
pi0_fast_droid_vla,droid_pair_seed_8302,8302,8302,left,Put the Rubik's cube to the left of the bowl.,False,True,False,False,-0.0842323899269104,0.0842323899269104,picked_never_entered_requested_region,450,93.587,True,
pi0_fast_droid_vla,droid_pair_seed_8302,8302,8302,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.16711467504501343,0.16711467504501343,success,321,68.168,True,
pi0_fast_droid_vla,droid_pair_seed_8303,8303,8303,left,Put the Rubik's cube to the left of the bowl.,True,True,True,True,-0.13645215332508087,0.13645215332508087,success,401,97.352,True,
pi0_fast_droid_vla,droid_pair_seed_8303,8303,8303,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.19964991509914398,0.19964991509914398,success,280,60.61,True,
pi0_fast_droid_vla,droid_pair_seed_8304,8304,8304,left,Put the Rubik's cube to the left of the bowl.,False,True,True,False,-0.07010051608085632,0.07010051608085632,entered_requested_region_not_released,450,94.049,True,
pi0_fast_droid_vla,droid_pair_seed_8304,8304,8304,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.22631492465734482,0.22631492465734482,success,281,61.959,True,
pi0_fast_droid_vla,droid_pair_seed_8305,8305,8305,left,Put the Rubik's cube to the left of the bowl.,False,True,False,False,0.014448866248130798,-0.014448866248130798,picked_never_entered_requested_region,450,94.062,False,PI0-RUNTIME-001
pi0_fast_droid_vla,droid_pair_seed_8305,8305,8305,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.16096444055438042,0.16096444055438042,success,311,65.802,True,
pi0_fast_droid_vla,droid_pair_seed_8306,8306,8306,left,Put the Rubik's cube to the left of the bowl.,False,True,False,False,0.014778457581996918,-0.014778457581996918,picked_never_entered_requested_region,450,93.35,True,
pi0_fast_droid_vla,droid_pair_seed_8306,8306,8306,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.26148976385593414,0.26148976385593414,success,316,68.743,True,
pi0_fast_droid_vla,droid_pair_seed_8307,8307,8307,left,Put the Rubik's cube to the left of the bowl.,False,True,True,False,-0.10728862881660461,0.10728862881660461,entered_requested_region_not_released,450,94.47,True,
pi0_fast_droid_vla,droid_pair_seed_8307,8307,8307,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.18100303784012794,0.18100303784012794,success,181,39.559,True,
pi0_fast_droid_vla,droid_pair_seed_8308,8308,8308,left,Put the Rubik's cube to the left of the bowl.,False,True,False,False,-0.04548358917236328,0.04548358917236328,picked_never_entered_requested_region,450,97.19,True,
pi0_fast_droid_vla,droid_pair_seed_8308,8308,8308,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.35721227526664734,0.35721227526664734,success,301,65.991,True,
pi0_fast_droid_vla,droid_pair_seed_8309,8309,8309,left,Put the Rubik's cube to the left of the bowl.,False,True,False,False,-0.08330728113651276,0.08330728113651276,picked_never_entered_requested_region,450,95.016,True,
pi0_fast_droid_vla,droid_pair_seed_8309,8309,8309,right,Put the Rubik's cube to the right of the bowl.,True,True,True,True,0.20298050343990326,0.20298050343990326,success,270,57.863,True,
