source_set_sha256,arena,model_class,model,model_id,model_revision,valid_n,left_successes,left_trials,right_successes,right_trials,endpoint_aligned_pairs,endpoint_pairs,action_distinct_pairs,action_pairs,action_metric_status,future_interface,future_evidence_status,invalid_attempt_count,invalid_attempt_unit,claim_boundary,evidence_sources
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,DROID / RoboLab,VLA,π0-FAST DROID,pi0_fast_droid_vla,not_recorded_in_selected_result,20,1,10,10,10,10,10,10,10,measured,none,not_applicable_never_zero,0,cell_attempts,Frozen ten-seed direct-command directional confirmation.,artifacts/vla_wam_shared_v2/pilot/results/pi0_fast_direct_confirmation.json@sha256:491c74812ed0e4d36c16f8e0ded17a70af3e69740c9bcb87af129bb6d9563073
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,DROID / RoboLab,WAM,Cosmos3 Nano Policy DROID — V2-A011,cosmos3_nano_policy_droid,6706d7680581c255ff61e0f3bb49d90eac55c79e,6,3,3,3,3,3,3,3,3,measured,decoded_rgb_uint8_33_frames_per_policy_request,exposed_and_retained_37_decoded_futures,2,setup_attempts; all before policy request,"Separate V2-A011 current-stack six-cell Nano gate; never pooled with Cosmos3 Edge, Cosmos-Reason2, historical VLA evidence, or RoboTwin.",artifacts/vla_wam_shared_v2/pilot/expansion/cosmos3_nano_policy_droid_direct_gate.json@sha256:4a6cc1d61593c7ba5272e1707f6bbe51261f7d23438070992bd75fd9e95fdb93;artifacts/vla_wam_shared_v2/pilot/expansion/cosmos3_nano_policy_droid_invalid_attempts.json@sha256:baa4ea6254d7b181a62247b8acc2c1e2b7e918633ab14b39123de2f9519bfcf8
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,DROID / RoboLab,VLA,GR00T N1.7 DROID,groot_n17_droid,05e7cc97e40dbd33b0890c35cc0214fcb0547ab5,6,0,3,0,3,3,3,3,3,measured,none,not_applicable_never_zero,5,ledger_entries; 2 behavior cells excluded,V2-A005 bounded six-cell direct-command replication.,artifacts/vla_wam_shared_v2/pilot/expansion/groot_n17_droid_v2_registry.json@sha256:95077a42bb0115bc673ea13ae5acdc6fdef6f476627804662f73c219ebd88bc7
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,DROID / RoboLab,WAM,Cosmos3 Edge DROID,cosmos3_edge_droid_wam,3ea407af3e156c0af3b4bb6edd85842cc9a58777,6,3,3,3,3,3,3,3,3,measured,decoded_rgb_uint8_33_frames_per_policy_request,exposed_and_retained,8,setup_attempts; all before model request,V2-A005 six-cell behavioral replication; separate from v1.,artifacts/vla_wam_shared_v2/pilot/expansion/cosmos3_edge_droid_direct_gate.json@sha256:1c559ee5667ac9d22d7b66eafa7a65551783eedaf7fb3de29a2faf450c2dd029;artifacts/vla_wam_shared_v2/pilot/expansion/cosmos3_edge_droid_invalid_attempts.json@sha256:b3a62c792c82d15143ef6c94b768e2bcf712dd69d9c2f96584c904140a452754
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,DROID / RoboLab,WAM,DreamZero DROID,dreamzero_droid,not_recorded_in_selected_result,6,2,3,1,3,3,3,3,3,measured,joint_action_and_latent_video_prediction_with_official_decode_path,exposed_decoded_imagination_and_retained,11,setup_attempts; all excluded from valid behavior,"V2-A007 bounded six-cell direct-command gate; decoded imagination is evidence, not execution.",artifacts/vla_wam_shared_v2/pilot/expansion/dreamzero_droid_direct_gate.json@sha256:4c76cdc3ca9eaf227d21d160199408f22e1b3dd7a71176a5a5dbe22223714461
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,RoboTwin place-A-relative-to-B,VLA,LingBot-VLA 4B,lingbot_vla_4b_robotwin,fb71a2c9749ccfedbb7290c2c3f0e5e7c7305c9e,6,1,3,0,3,2,3,,,not_reported_by_compiled_gate,none,not_applicable_never_zero,3,technical_setup_attempts,V2-A005 bounded six-cell direct-command gate.,artifacts/vla_wam_shared_v2/pilot/expansion/lingbot_vla_4b_direct_gate.json@sha256:7c0ad19833d6cbb51bb5fbdac8f9546f0e311333e498a15594b55f68dc7b6534;artifacts/vla_wam_shared_v2/pilot/expansion/lingbot_vla_4b_robotwin_readiness.json@sha256:588699ed912fe900de5a5ca36c350236e15ae0b0a2c55afeea22670759b68c30
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,RoboTwin place-A-relative-to-B,WAM,Efficient-WAM-RT,efficient_wam_rt_robotwin,b0b6cfabcbd68d18888866e958c677ce640f0412,14,3,7,2,7,6,7,7,7,measured,decoded_future_video,exposed_and_retained,4,cell_attempts,Prospective pairs03–09 only; historical pairs00–02 are not merged into this row.,artifacts/vla_wam_shared_v2/pilot/directional_confirmation/efficient_wam_rt_pair03_integration.json@sha256:d850f8f2c3d32db705cc65326ca673c150ab7208a203a180bd32d88dfb0e5471;artifacts/vla_wam_shared_v2/pilot/directional_confirmation/efficient_wam_rt_pairs04_09_slice.json@sha256:e7d2d3791323fecedb49e8c1ecc8fda1e0ade91dedd6613b9079f7b290e1fd54
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,RoboTwin place-A-relative-to-B,WAM,FastWAM,fastwam_robotwin,not_recorded_in_selected_result,14,1,7,1,7,3,7,7,7,measured,action_only_at_test_time,not_applicable_never_zero,18,cell_attempts,Prospective pairs03–09 only; historical pairs00–02 are not merged into this row.,artifacts/vla_wam_shared_v2/pilot/directional_confirmation/fastwam_pairs03_09_slice.json@sha256:9d52920cded17d0f61c997f02624ea38ffc4c9a3536cdacf9f71115b151d14be
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,RoboTwin place-A-relative-to-B,WAM,LingBot-VA,lingbot_va_robotwin,not_recorded_in_selected_result,14,3,7,4,7,6,7,7,7,measured,latent_only_future_not_decodable,latent_retained_not_scored_never_zero,5,cell_attempts,Prospective pairs03–09 only; historical pairs00–02 are not merged into this row.,artifacts/vla_wam_shared_v2/pilot/directional_confirmation/lingbot_va_pairs03_09_slice.json@sha256:8617da77c819ea57d374f463a672bf73414b088bb8188b9b13a6c1c2e1fb9d85
d525591c714fe495a5e141c475f0e6cdf737df87af3438c6f8103e1fd1a087e9,RoboTwin place-A-relative-to-B,WAM,Light-WAM,light_wam_robotwin,7cc8593fb95423a9cfbb93f82c95c2fa7d5357bd,6,1,3,0,3,1,3,3,3,measured,action_only_infer_action,not_applicable_never_zero,6,cell_attempts,V2-A006 bounded six-cell direct-command gate.,artifacts/vla_wam_shared_v2/pilot/expansion/light_wam_robotwin_direct_gate.json@sha256:f33e1ff8fdc82c4a035f2cc113b91b311d685d9747dbcbb1104453fc455745d6;artifacts/vla_wam_shared_v2/pilot/expansion/light_wam_robotwin_registry.json@sha256:c316bbebe8aa73cfe86b8749cb3cf6d8ebf438389a57b1d9e6c52dbfee67bbb5
