cell_id,phase,layout_pair_id,model_config,layout_arm,command,replicate_id,candidate_effective_policy_seed,action_cap,stop_on_success,selected,status,pose_manifest,forecast_mapping
wmf1__pilot__P00__D2__original__left,pilot,P00,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__D2__original__right,pilot,P00,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__D2__reflected__left,pilot,P00,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__D2__reflected__right,pilot,P00,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D2__original__left,development,D01,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D2__original__right,development,D01,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D2__reflected__left,development,D01,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D2__reflected__right,development,D01,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D2__original__left,development,D02,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D2__original__right,development,D02,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D2__reflected__left,development,D02,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D2__reflected__right,development,D02,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D2__original__left,development,D03,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D2__original__right,development,D03,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D2__reflected__left,development,D03,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D2__reflected__right,development,D03,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D2__original__left,development,D04,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D2__original__right,development,D04,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D2__reflected__left,development,D04,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D2__reflected__right,development,D04,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D2__original__left,confirmation,C01,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D2__original__right,confirmation,C01,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D2__reflected__left,confirmation,C01,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D2__reflected__right,confirmation,C01,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D2__original__left,confirmation,C02,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D2__original__right,confirmation,C02,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D2__reflected__left,confirmation,C02,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D2__reflected__right,confirmation,C02,D2,reflected,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__D2__original__left,confirmation,C03,D2,original,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__D2__original__right,confirmation,C03,D2,original,right,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__D2__reflected__left,confirmation,C03,D2,reflected,left,0,1140,450,false,false,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
