cell_id,phase,layout_pair_id,model_config,layout_arm,command,replicate_id,candidate_effective_policy_seed,action_cap,stop_on_success,selected,status,pose_manifest,forecast_mapping
wmf1__pilot__P00__N3__original__left,pilot,P00,N3,original,left,0,2026091000,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__N3__original__right,pilot,P00,N3,original,right,0,2026091000,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__N3__reflected__left,pilot,P00,N3,reflected,left,0,2026091000,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__N3__reflected__right,pilot,P00,N3,reflected,right,0,2026091000,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__D1__original__left,pilot,P00,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__D1__original__right,pilot,P00,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__D1__reflected__left,pilot,P00,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__pilot__P00__D1__reflected__right,pilot,P00,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__N3__original__left,development,D01,N3,original,left,0,2026091101,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__N3__original__right,development,D01,N3,original,right,0,2026091101,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__N3__reflected__left,development,D01,N3,reflected,left,0,2026091101,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__N3__reflected__right,development,D01,N3,reflected,right,0,2026091101,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D1__original__left,development,D01,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D1__original__right,development,D01,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D1__reflected__left,development,D01,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D01__D1__reflected__right,development,D01,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__N3__original__left,development,D02,N3,original,left,0,2026091102,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__N3__original__right,development,D02,N3,original,right,0,2026091102,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__N3__reflected__left,development,D02,N3,reflected,left,0,2026091102,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__N3__reflected__right,development,D02,N3,reflected,right,0,2026091102,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D1__original__left,development,D02,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D1__original__right,development,D02,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D1__reflected__left,development,D02,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D02__D1__reflected__right,development,D02,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__N3__original__left,development,D03,N3,original,left,0,2026091103,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__N3__original__right,development,D03,N3,original,right,0,2026091103,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__N3__reflected__left,development,D03,N3,reflected,left,0,2026091103,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__N3__reflected__right,development,D03,N3,reflected,right,0,2026091103,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D1__original__left,development,D03,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D1__original__right,development,D03,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D1__reflected__left,development,D03,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D03__D1__reflected__right,development,D03,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__N3__original__left,development,D04,N3,original,left,0,2026091104,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__N3__original__right,development,D04,N3,original,right,0,2026091104,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__N3__reflected__left,development,D04,N3,reflected,left,0,2026091104,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__N3__reflected__right,development,D04,N3,reflected,right,0,2026091104,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D1__original__left,development,D04,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D1__original__right,development,D04,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D1__reflected__left,development,D04,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__development__D04__D1__reflected__right,development,D04,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__N3__original__left,confirmation,C01,N3,original,left,0,2026091201,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__N3__original__right,confirmation,C01,N3,original,right,0,2026091201,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__N3__reflected__left,confirmation,C01,N3,reflected,left,0,2026091201,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__N3__reflected__right,confirmation,C01,N3,reflected,right,0,2026091201,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D1__original__left,confirmation,C01,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D1__original__right,confirmation,C01,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D1__reflected__left,confirmation,C01,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C01__D1__reflected__right,confirmation,C01,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__N3__original__left,confirmation,C02,N3,original,left,0,2026091202,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__N3__original__right,confirmation,C02,N3,original,right,0,2026091202,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__N3__reflected__left,confirmation,C02,N3,reflected,left,0,2026091202,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__N3__reflected__right,confirmation,C02,N3,reflected,right,0,2026091202,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D1__original__left,confirmation,C02,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D1__original__right,confirmation,C02,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D1__reflected__left,confirmation,C02,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C02__D1__reflected__right,confirmation,C02,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__N3__original__left,confirmation,C03,N3,original,left,0,2026091203,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__N3__original__right,confirmation,C03,N3,original,right,0,2026091203,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__N3__reflected__left,confirmation,C03,N3,reflected,left,0,2026091203,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__N3__reflected__right,confirmation,C03,N3,reflected,right,0,2026091203,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__D1__original__left,confirmation,C03,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__D1__original__right,confirmation,C03,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__D1__reflected__left,confirmation,C03,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C03__D1__reflected__right,confirmation,C03,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C04__N3__original__left,confirmation,C04,N3,original,left,0,2026091204,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C04__N3__original__right,confirmation,C04,N3,original,right,0,2026091204,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C04__N3__reflected__left,confirmation,C04,N3,reflected,left,0,2026091204,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
